group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,distance_from_origin_mean,distance_from_origin_std,distance_from_origin_min,distance_from_origin_max,velocity_xy_mean,velocity_xy_std,velocity_xy_min,velocity_xy_max,velocity_z_mean,velocity_z_std,velocity_z_min,velocity_z_max,length_mean,length_std,length_min,length_max,height_mean,height_std,height_min,height_max,torso_angle_mean,torso_angle_std,torso_angle_min,torso_angle_max,angle_to_origin_mean,angle_to_origin_std,angle_to_origin_min,angle_to_origin_max,frequency,total_duration,duration
resilient,pre102,0,-0.19264372906666669,1.848216391071969,-3.11764862,3.135957168,-0.10243116890140846,10.114975710707684,-124.2369427,125.2335894,15.569593605305162,6.518797511385772,1.23561376,41.62350266,5.931324319507982,1.9077720908688176,0.734573296,8.516664132,4.159966530421596,3.3845403326150763,0.014259767,17.26214177,1.5570812625568073,1.291524563642041,0.000190992,6.460411173,4.958022438884507,0.818224406413328,2.613657258,7.039857391,1.339957250201878,0.8514690616667198,0.001189273,3.242097856,2.9350448571887324,0.18656020655120142,1.721480892,3.141321438,1.9271421430995306,0.721973972491032,0.00059355,3.140637072,0.13043478260869565,0.0902542372881356,0.4930555555555555
resilient,pre102,1,-0.02494118848542024,1.745981446758935,-3.136275714,3.131011083,-0.35946063921612353,12.642251789732372,-125.5340516,123.5274537,15.996829403715266,6.799342214515006,1.411071133,38.11793608,6.305539879584906,1.6462666197658464,2.05272085,9.594639661,2.911187102651801,1.6670565656470178,0.06905527,8.548708625,5.194737848763293,4.411472603512494,0.00110826,17.0972378,3.975455641459691,1.0142349096341547,1.145561507,6.43340158,2.515947785783877,1.618690572714138,0.007575507,6.138335864,2.740575732605489,0.4572908492003837,0.239966796,3.138920433,1.500362606135506,0.7316816407878601,0.004557654,3.14047468,0.10144927536231885,0.04940677966101695,0.3470238095238095
resilient,pre102,2,0.18322009876550388,1.746223984689754,-3.139859487,3.127323594,0.17759301500193797,9.568129001447382,-124.9631035,125.0709564,15.971995506467053,6.984940479190356,1.363322237,39.69831776,7.766092949432171,1.58312715204633,2.447845614,9.939902219,2.0510723052926356,1.3514414851183227,0.013501726,9.056334156,4.51808525652907,2.778793454573355,0.013301908,11.18145953,2.794681960540698,1.0672954466131588,0.46779525,6.324976196,4.46035864398062,1.5072180299286915,0.051834425,6.741365112,2.2331415120833333,0.9040270204660749,0.010228034,3.140785723,1.6883907052751939,0.8789371465135479,0.013066561,3.13874388,0.06521739130434782,0.04372881355932203,0.47777777777777775
resilient,pre102,3,0.3018663102783401,1.7948428031157404,-3.140285087,3.13830091,-0.2771928605080972,8.925764198035745,-124.3692977,125.3429081,17.57177572508603,7.466801950580676,2.109366759,45.80746532,5.5618227827186235,1.850103112594093,0.328202909,8.681391798,8.068935328389676,4.752689867927861,0.057184725,22.06391026,0.8727233889554656,1.1311613446688307,3.9e-05,11.8965595,5.8144615221811735,0.5708603085544667,3.294911712,7.046723532,0.42711596433198384,0.3919823876968747,3.89e-05,3.30585668,3.0006624308643723,0.13281919834085665,2.179688978,3.141567253,1.860284083269231,0.6606348803502202,0.004379255,3.1222272,0.08574879227053141,0.08372881355932203,0.6957746478873239
resilient,pre102,4,0.29435147472994444,2.004162516625922,-3.135358399,3.141583539,0.37943933799999996,12.194261412082799,-125.0245767,125.4804336,15.754988967849085,6.3857829651411375,0.0,37.39255113,5.925045423235107,1.8161045155166413,0.54346805,8.685359997,3.493865968067568,2.752589416109664,0.005669541,16.06152112,1.0137754951136724,1.9192322521962044,4.41e-05,17.03769598,4.900128094131056,0.8615117752044272,2.194860238,8.343567586,0.7028123410365369,0.49113257991274634,0.003013318,3.818491824,2.831905899997617,0.28525795785834296,1.118704979,3.141562474,1.6930908682668784,0.7456796318537553,0.002224747,3.14013114,0.0785024154589372,0.10669491525423729,0.9684615384615384
resilient,pre102,5,0.21296390597805642,1.8484998768044805,-3.140285087,3.128070548,0.27666242857157786,12.759078635563151,-4.629961468,125.3117437,15.535876045278997,6.505251641031515,0.999132794,38.93488994,6.00303744615883,1.2537924555642606,2.234286452,8.405936353,4.032075170360502,2.7151080433151082,0.050500413,14.06994087,1.4614768815036572,2.1692781508058623,0.000902787,17.44138767,4.608503102567398,0.6455652206258283,2.57850795,6.743192956,1.1430311928244514,0.7025249088324056,0.000163174,5.257261964,2.8474646368641587,0.24258548229744586,1.680802086,3.140806523,1.4237796089414838,0.7958224926051972,0.002045442,3.140798581,0.08695652173913043,0.08110169491525424,0.6645833333333333
resilient,pre102,6,0.2917790560177419,1.8839675353075098,-3.130734868,3.140927657,-0.25424039172741936,11.19299395163313,-124.9286926,124.3107532,15.430271163259675,6.926830157065149,1.371104479,45.9044885,7.15680009201129,1.622854687535994,1.34873845,9.741368196,1.6938313189870966,1.3044494988313535,0.072622156,7.391813932,2.7317816479306454,2.391002388807527,0.002823012,11.70579074,2.5795223315935485,0.9531897918357268,1.148763312,4.88317635,5.496964596254839,0.6061781460923008,2.132135498,6.271495586,1.9803182271758066,0.823902336039927,0.013980985,3.140936789,1.0547657416387097,0.6802147104991909,0.011110659,3.13308014,0.050724637681159424,0.05254237288135593,0.7380952380952381
resilient,pre102,7,-0.01985645249974709,1.85296700969675,-3.139995439,3.141325193,0.2292391348861912,7.9646682536073925,-125.014288,125.2608808,15.142865666306019,6.498290698475499,1.314941313,37.41437547,6.11177980188265,1.9244394582268258,2.230943633,9.887133744,1.672457811560951,1.6735979273870407,0.000556296,10.71244422,1.0650562288710166,1.4925327460647275,0.000178268,13.36977152,3.2348770967845217,1.3891113960742287,0.361177737,6.722090867,3.294099881614062,1.8870232413494135,0.000946525,6.323596347,2.299098360903895,0.913715107343286,0.000272786,3.141580991,1.208657055889226,0.8589977410203152,0.00177847,3.136199115,0.08091787439613526,0.16754237288135593,1.475373134328358
resilient,pre102,8,-0.4642973267250996,1.965747541923522,-3.135133014,3.12018034,-0.11334402688844623,11.22798064363377,-124.6397455,4.022143298,16.744290802159362,6.879345019686548,3.49009473,35.30420018,5.072988889792829,1.5800860217397736,1.132412517,8.175572917,5.913760954848605,3.5988217625327352,0.009002374,16.43036158,2.3477549325936256,2.2355092143940882,0.036605843,13.03597638,4.965387656115538,0.6853483570704386,2.926671383,6.665213356,1.7950563450996015,0.8750385118472165,0.07405547,4.403480536,2.9223275830517927,0.12951070226726832,2.16296256,3.140988207,1.108830936426295,0.6844994774404055,0.008649348,2.911778831,0.03140096618357488,0.021271186440677967,0.48269230769230764
resilient,pre102,9,0.8445302839152942,1.7725285297385724,-3.124967553,3.132087089,-0.16760799207058824,13.557764945062152,-125.0956858,124.9111043,15.87438287712706,6.979166896252689,2.31025337,40.70235351,6.3103211003294115,1.5227655406400151,2.168020317,8.613247653,4.611305794938824,3.250261561503631,0.165925963,17.32549031,1.5546636014376471,2.3478292278530044,0.002761059,13.95999328,4.671654352477647,0.773397491272277,2.375479336,6.372066191,1.0164205208517647,0.7472682326153613,0.001822454,4.683481133,2.9045699813882355,0.18945016331198972,2.203867473,3.140186768,1.5128666120094119,0.7040929781987064,0.0418876,3.129426573,0.025362318840579712,0.036016949152542374,1.0119047619047619
